Country,Residual
BRA_A,1.651762909204292e-07
CZE_A,1.651762909133379e-07
FRA_A,1.6517629091693235e-07
IRL_A,1.6517629091917264e-07
LUX_A,1.6517629091628066e-07
NZL_A,1.651762909194854e-07
ROU_A,1.651762909204292e-07
TUN_A,1.651762909204292e-07
ARG_A,1.651762909204292e-07
CAN_A,1.6517629091497647e-07
DEU_A,1.651762909167701e-07
GBR_A,1.6517629091015658e-07
IRN_A,1.651762909204292e-07
MEX_A,1.651762909204292e-07
PER_A,1.651762909204292e-07
SAU_A,1.651762909204292e-07
TUR_A,1.651762909204292e-07
AUS_A,1.6517629091993378e-07
CHE_A,1.6517629091074016e-07
DNK_A,1.6517629091538503e-07
GRC_A,1.6517629091571365e-07
ISL_A,1.6517629091345925e-07
MLT_A,1.651762909123933e-07
PHL_A,1.651762909204292e-07
SGP_A,1.651762909163463e-07
TWN_A,1.6517629091481058e-07
AUT_A,1.651762909198396e-07
CHL_A,1.651762909204292e-07
EGY_A,1.651762909204292e-07
HKG_A,1.651762909171916e-07
ISR_A,1.6517629091822177e-07
MYS_A,1.651762909204292e-07
POL_A,1.651762909204292e-07
SVK_A,1.6517629091105656e-07
URY_A,1.651762909204292e-07
BEL_A,1.6517629091640943e-07
CHN_A,1.651762909204292e-07
ESP_A,1.6517629092188595e-07
HUN_A,1.651762909204292e-07
ITA_A,1.6517629091314698e-07
NAM_A,1.651762909204292e-07
PRT_A,1.6517629091177018e-07
SVN_A,1.6517629091100563e-07
USA_A,1.6517629091377455e-07
BGR_A,1.651762909204292e-07
COL_A,1.651762909204292e-07
EST_A,1.6517629091784897e-07
IDN_A,1.651762909204292e-07
JPN_A,1.651762909193734e-07
NLD_A,1.651762909153967e-07
PRY_A,1.651762909204292e-07
SWE_A,1.6517629091291823e-07
ZAF_A,1.651762909204292e-07
BOL_A,1.651762909204292e-07
CYP_A,1.6517629091310034e-07
FIN_A,1.651762909112291e-07
IND_A,1.651762909204292e-07
KOR_A,1.6517629091281955e-07
NOR_A,1.6517629091090256e-07
QAT_A,1.651762909204292e-07
THA_A,1.651762909204292e-07
AGO_E,1.651762909175132e-07
BRA_E,1.6517629091850402e-07
CZE_E,1.651762909165093e-07
FRA_E,1.651762909165093e-07
IRL_E,1.651762909165093e-07
LUX_E,1.651762909165093e-07
NZL_E,1.651762909165093e-07
ROU_E,1.6517629090533276e-07
TUN_E,1.6517629091760473e-07
ARG_E,1.6517629091403097e-07
CAN_E,1.651762909165093e-07
DEU_E,1.651762909165093e-07
GBR_E,1.651762909165093e-07
IRN_E,1.6517629091630676e-07
MEX_E,1.651762909158657e-07
PER_E,1.6517629092401227e-07
SAU_E,1.6517629091240395e-07
TUR_E,1.651762909129626e-07
AUS_E,1.651762909165093e-07
CHE_E,1.651762909165093e-07
DNK_E,1.651762909165093e-07
GRC_E,1.651762909165093e-07
ISL_E,1.651762909165093e-07
MLT_E,1.651762909165093e-07
PHL_E,1.6517629091721787e-07
SGP_E,1.651762909165093e-07
TWN_E,1.651762909165093e-07
AUT_E,1.651762909165093e-07
CHL_E,1.6517629092045238e-07
EGY_E,1.6517629091749724e-07
HKG_E,1.651762909165093e-07
ISR_E,1.651762909165093e-07
MYS_E,1.6517629091854446e-07
POL_E,1.6517629091516745e-07
SVK_E,1.651762909165093e-07
URY_E,1.651762909101095e-07
BEL_E,1.651762909165093e-07
CHN_E,1.6517629091549588e-07
ESP_E,1.651762909165093e-07
HUN_E,1.651762909155989e-07
ITA_E,1.651762909165093e-07
NAM_E,1.6517629091825798e-07
PRT_E,1.651762909165093e-07
SVN_E,1.651762909165093e-07
USA_E,1.651762909165093e-07
BGR_E,1.6517629090877282e-07
COL_E,1.6517629091354236e-07
EST_E,1.651762909165093e-07
IDN_E,1.651762909117112e-07
JPN_E,1.651762909165093e-07
NLD_E,1.651762909165093e-07
PRY_E,1.6517629091797322e-07
SWE_E,1.651762909165093e-07
ZAF_E,1.651762909117224e-07
BOL_E,1.6517629091328767e-07
CYP_E,1.651762909165093e-07
FIN_E,1.651762909165093e-07
IND_E,1.6517629091779693e-07
KOR_E,1.651762909165093e-07
NOR_E,1.651762909165093e-07
QAT_E,1.6517629091396315e-07
THA_E,1.6517629091436348e-07
AGO_R,1.6517629091487935e-07
BRA_R,1.6517629091129275e-07
CZE_R,1.6517629091741439e-07
FRA_R,1.6517629091689312e-07
IRL_R,1.6517629091867898e-07
LUX_R,1.6517629091673687e-07
NZL_R,1.6517629091210121e-07
ROU_R,1.6517629091545165e-07
TUN_R,1.651762909221329e-07
ARG_R,1.6517629090613114e-07
CAN_R,1.65176290918507e-07
DEU_R,1.6517629092297738e-07
GBR_R,1.6517629091607994e-07
IRN_R,1.6517629090818263e-07
MEX_R,1.651762909115451e-07
PER_R,1.6517629091653178e-07
SAU_R,1.6517629091723325e-07
TUR_R,1.6517629092418575e-07
AUS_R,1.6517629091704082e-07
CHE_R,1.651762909105909e-07
DNK_R,1.6517629091781588e-07
GRC_R,1.6517629092098e-07
ISL_R,1.651762909119949e-07
MLT_R,1.6517629091842228e-07
PHL_R,1.6517629092076517e-07
SGP_R,1.6517629091750454e-07
TWN_R,1.651762909107112e-07
AUT_R,1.651762909098191e-07
CHL_R,1.6517629091318602e-07
EGY_R,1.6517629091757805e-07
HKG_R,1.6517629090957978e-07
ISR_R,1.6517629092305592e-07
MYS_R,1.6517629092204845e-07
POL_R,1.6517629090822532e-07
SVK_R,1.6517629091036718e-07
URY_R,1.6517629090175457e-07
BEL_R,1.6517629091203372e-07
CHN_R,1.651762909144605e-07
ESP_R,1.6517629092000938e-07
HUN_R,1.6517629091954923e-07
ITA_R,1.6517629092566258e-07
NAM_R,1.651762909184445e-07
PRT_R,1.6517629091492265e-07
SVN_R,1.6517629092410642e-07
USA_R,1.651762909143184e-07
BGR_R,1.6517629091200314e-07
COL_R,1.6517629091089758e-07
EST_R,1.6517629090948203e-07
IDN_R,1.6517629092028353e-07
JPN_R,1.6517629091885212e-07
NLD_R,1.6517629091908357e-07
PRY_R,1.651762909196853e-07
SWE_R,1.651762909095812e-07
ZAF_R,1.6517629091113843e-07
BOL_R,1.651762909162986e-07
CYP_R,1.651762909136384e-07
FIN_R,1.6517629091642865e-07
IND_R,1.6517629091797724e-07
KOR_R,1.6517629092146199e-07
NOR_R,1.6517629091938639e-07
QAT_R,1.6517629091304306e-07
THA_R,1.6517629091224582e-07
AGO_D,1.651762909120067e-07
BRA_D,1.651762909120067e-07
CZE_D,1.651762909120067e-07
FRA_D,1.651762909120067e-07
IRL_D,1.651762909120067e-07
LUX_D,1.651762909120067e-07
NZL_D,1.651762909120067e-07
ROU_D,1.651762909120067e-07
TUN_D,1.651762909120067e-07
ARG_D,1.651762909120067e-07
CAN_D,1.651762909120067e-07
DEU_D,1.651762909120067e-07
GBR_D,1.651762909120067e-07
IRN_D,1.651762909120067e-07
MEX_D,1.651762909120067e-07
PER_D,1.651762909120067e-07
SAU_D,1.651762909120067e-07
TUR_D,1.651762909120067e-07
AUS_D,1.651762909120067e-07
CHE_D,1.651762909120067e-07
DNK_D,1.651762909120067e-07
GRC_D,1.651762909120067e-07
ISL_D,1.651762909120067e-07
MLT_D,1.651762909120067e-07
PHL_D,1.651762909120067e-07
SGP_D,1.651762909120067e-07
TWN_D,1.651762909120067e-07
AUT_D,1.651762909120067e-07
CHL_D,1.651762909120067e-07
EGY_D,1.651762909120067e-07
HKG_D,1.651762909120067e-07
ISR_D,1.651762909120067e-07
MYS_D,1.651762909120067e-07
POL_D,1.651762909120067e-07
SVK_D,1.651762909120067e-07
URY_D,1.651762909120067e-07
BEL_D,1.651762909120067e-07
CHN_D,1.651762909120067e-07
ESP_D,1.651762909120067e-07
HUN_D,1.651762909120067e-07
ITA_D,1.651762909120067e-07
NAM_D,1.651762909120067e-07
PRT_D,1.651762909120067e-07
SVN_D,1.651762909120067e-07
USA_D,1.651762909120067e-07
BGR_D,1.651762909120067e-07
COL_D,1.651762909120067e-07
EST_D,1.651762909120067e-07
IDN_D,1.651762909120067e-07
JPN_D,1.651762909120067e-07
NLD_D,1.651762909120067e-07
PRY_D,1.651762909120067e-07
SWE_D,1.651762909120067e-07
ZAF_D,1.651762909120067e-07
BOL_D,1.651762909120067e-07
CYP_D,1.651762909120067e-07
FIN_D,1.651762909120067e-07
IND_D,1.651762909120067e-07
KOR_D,1.651762909120067e-07
NOR_D,1.651762909120067e-07
QAT_D,1.651762909120067e-07
THA_D,1.651762909120067e-07
AGO_U,1.651762909216463e-07
BRA_U,1.651762909216463e-07
CZE_U,1.651762909216463e-07
FRA_U,1.651762909216463e-07
IRL_U,1.651762909216463e-07
LUX_U,1.651762909216463e-07
NZL_U,1.651762909216463e-07
ROU_U,1.651762909216463e-07
TUN_U,1.651762909216463e-07
ARG_U,1.651762909216463e-07
CAN_U,1.651762909216463e-07
DEU_U,1.651762909216463e-07
GBR_U,1.651762909216463e-07
IRN_U,1.651762909216463e-07
MEX_U,1.651762909216463e-07
PER_U,1.651762909216463e-07
SAU_U,1.651762909216463e-07
TUR_U,1.651762909216463e-07
AUS_U,1.651762909216463e-07
CHE_U,1.651762909216463e-07
DNK_U,1.651762909216463e-07
GRC_U,1.651762909216463e-07
ISL_U,1.651762909216463e-07
MLT_U,1.651762909216463e-07
PHL_U,1.651762909216463e-07
SGP_U,1.651762909216463e-07
TWN_U,1.651762909216463e-07
AUT_U,1.651762909216463e-07
CHL_U,1.651762909216463e-07
EGY_U,1.651762909216463e-07
HKG_U,1.651762909216463e-07
ISR_U,1.651762909216463e-07
MYS_U,1.651762909216463e-07
POL_U,1.651762909216463e-07
SVK_U,1.651762909216463e-07
URY_U,1.651762909216463e-07
BEL_U,1.651762909216463e-07
CHN_U,1.651762909216463e-07
ESP_U,1.651762909216463e-07
HUN_U,1.651762909216463e-07
ITA_U,1.651762909216463e-07
NAM_U,1.651762909216463e-07
PRT_U,1.651762909216463e-07
SVN_U,1.651762909216463e-07
USA_U,1.651762909216463e-07
BGR_U,1.651762909216463e-07
COL_U,1.651762909216463e-07
EST_U,1.651762909216463e-07
IDN_U,1.651762909216463e-07
JPN_U,1.651762909216463e-07
NLD_U,1.651762909216463e-07
PRY_U,1.651762909216463e-07
SWE_U,1.651762909216463e-07
ZAF_U,1.651762909216463e-07
BOL_U,1.651762909216463e-07
CYP_U,1.651762909216463e-07
FIN_U,1.651762909216463e-07
IND_U,1.651762909216463e-07
KOR_U,1.651762909216463e-07
NOR_U,1.651762909216463e-07
QAT_U,1.651762909216463e-07
THA_U,1.651762909216463e-07
